id;titel;quelle;kategorie;unterkategorie;punkte;rang_in_unterkategorie;empfehlung;warum
sw-jagerball;Jägerball;Spielewiki;bewegung_drinnen;ball;5;18;Reserve (zweite Reihe);kurz genug für einen Slot
sw-rugby;Rugby;Spielewiki;bewegung_drinnen;ball;5;19;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-sitzfussball-im-kreis;Sitzfußball im Kreis;Spielewiki;bewegung_drinnen;ball;5;20;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-zahlball;Zählball;Spielewiki;bewegung_drinnen;ball;5;21;Reserve (zweite Reihe);ausführlich beschrieben
sw-bodyguard;Bodyguard;Spielewiki;bewegung_drinnen;ball;4;22;Reserve (zweite Reihe);ausführlich beschrieben
sw-esel-in-der-mitte;Esel in der Mitte;Spielewiki;bewegung_drinnen;ball;4;23;Reserve (zweite Reihe);ausführlich beschrieben
sw-frisbeezielwurf;Frisbeezielwurf;Spielewiki;bewegung_drinnen;ball;4;24;Reserve (zweite Reihe);kurz genug für einen Slot
sw-killerball;Killerball;Spielewiki;bewegung_drinnen;ball;4;25;Reserve (zweite Reihe);ausführlich beschrieben
sw-kinderbaseball;Kinderbaseball;Spielewiki;bewegung_drinnen;ball;4;26;Reserve (zweite Reihe);ausführlich beschrieben
sw-reboundball;Reboundball;Spielewiki;bewegung_drinnen;ball;4;27;Reserve (zweite Reihe);ausführlich beschrieben
sw-treibball;Treibball;Spielewiki;bewegung_drinnen;ball;4;28;Reserve (zweite Reihe);ausführlich beschrieben
sw-volkerball;Völkerball;Spielewiki;bewegung_drinnen;ball;4;29;Reserve (zweite Reihe);ausführlich beschrieben
sw-foursquare;Foursquare;Spielewiki;bewegung_drinnen;ball;3;30;Reserve (zweite Reihe);ausführlich beschrieben
sw-kubelball;Kübelball;Spielewiki;bewegung_drinnen;ball;3;31;Reserve (zweite Reihe);ausführlich beschrieben
sw-mehrfach-volleyball;Mehrfach-Volleyball;Spielewiki;bewegung_drinnen;ball;3;32;Reserve (zweite Reihe);ausführlich beschrieben
sw-mehrfelderball;Mehrfelderball;Spielewiki;bewegung_drinnen;ball;3;33;Reserve (zweite Reihe);ausführlich beschrieben
sw-partner-merkball;Partner-Merkball;Spielewiki;bewegung_drinnen;ball;3;34;Reserve (zweite Reihe);ausführlich beschrieben, braucht große Gruppe
sw-rugbyfangen;Rugbyfangen;Spielewiki;bewegung_drinnen;ball;3;35;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-volkerball-verkehrt;Völkerball verkehrt;Spielewiki;bewegung_drinnen;ball;3;36;Reserve (zweite Reihe);ausführlich beschrieben
sw-ball-uber-die-schnur;Ball über die Schnur;Spielewiki;bewegung_drinnen;ball;2;37;Reserve (zweite Reihe);ausführlich beschrieben, viel Material
sw-merkball;Merkball;Spielewiki;bewegung_drinnen;ball;-1;38;Reserve (zweite Reihe);Dublette, ausführlich beschrieben
sw-frisbee-passen;Frisbee-Passen;Spielewiki;bewegung_drinnen;ball;-2;39;Reserve (zweite Reihe);Dublette, kurz genug für einen Slot
sw-rette-den-freund;Rette den Freund;Spielewiki;bewegung_drinnen;ball;-2;40;Reserve (zweite Reihe);Dublette, ausführlich beschrieben
sw-frisbeelauf;Frisbeelauf;Spielewiki;bewegung_draussen;ball;-4;41;Reserve (zweite Reihe);Dublette, kurz genug für einen Slot
sw-bildhauer;Bildhauer;Spielewiki;ruhig;darstellen;8;1;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-gruppengeschichte;Gruppengeschichte;Spielewiki;ruhig;darstellen;8;2;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-eisenbahn;Eisenbahn;Spielewiki;kreis;darstellen;7;3;Kern;ausführlich beschrieben, kein Material
sw-blindes-schminken;Blindes Schminken;Spielewiki;ruhig;darstellen;6;4;Kern;ausführlich beschrieben, kurz genug für einen Slot, viel Material
sw-kreisportrat;Kreisporträt;Spielewiki;ruhig;darstellen;6;5;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-streichholz-feuerwerk;Streichholz-Feuerwerk;Spielewiki;ruhig;darstellen;6;6;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-bibliodrama;Bibliodrama;Spielewiki;bewegung_drinnen;darstellen;5;7;Reserve (zweite Reihe);ausführlich beschrieben
sw-lustige-figuren;Lustige Figuren;Spielewiki;ruhig;darstellen;5;8;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-zeichnung-in-der-dunkelheit;Zeichnung in der Dunkelheit;Spielewiki;ruhig;darstellen;5;9;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-schreiben-und-zeichnen;Schreiben und Zeichnen;Spielewiki;bewegung_drinnen;darstellen;4;10;Reserve (zweite Reihe);ausführlich beschrieben
sw-stille-post-in-bildern;Stille Post in Bildern;Spielewiki;ruhig;darstellen;4;11;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-picasso-fur-arme;Picasso für Arme;Spielewiki;ruhig;darstellen;2;12;Reserve (zweite Reihe);ausführlich beschrieben
sw-eierversuch;Eierversuch;Spielewiki;ruhig;darstellen;1;13;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-kochduell;Kochduell;Spielewiki;ruhig;darstellen;1;14;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-talentshow;Talentshow;Spielewiki;ruhig;darstellen;1;15;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein
sw-scharade;Scharade;Spielewiki;bewegung_drinnen;darstellen;0;16;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, kein Material, Corona/Online
sw-eine-ente;Eine Ente;Spielewiki;ruhig;denken;9;1;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-minutenweg;Minutenweg;Spielewiki;ruhig;denken;9;2;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-was-ware-die-person;Was wäre die Person;Spielewiki;ruhig;denken;9;3;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-backerquiz;Bäckerquiz;Spielewiki;ruhig;denken;8;4;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-rapunzel;Rapunzel;Spielewiki;ruhig;denken;8;5;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-telegramm;Telegramm;Spielewiki;ruhig;denken;7;6;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-tier-vogel-fisch;Tier Vogel Fisch;Spielewiki;ruhig;denken;7;7;Kern;ausführlich beschrieben, kein Material
sw-alphabet-staffel;Alphabet-Staffel;Spielewiki;ruhig;denken;6;8;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-bilder-raten;Bilder raten;Spielewiki;ruhig;denken;6;9;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-dreieck;Dreieck;Spielewiki;ruhig;denken;6;10;Kern;ausführlich beschrieben, kein Material
sw-einkaufszentrum;Einkaufszentrum;Spielewiki;ruhig;denken;6;11;Kern;ausführlich beschrieben, kein Material
sw-initialenraten;Initialenraten;Spielewiki;ruhig;denken;6;12;Kern;kurz genug für einen Slot, kein Material
sw-kleiner-gruner-zauberer;Kleiner Grüner Zauberer;Spielewiki;ruhig;denken;6;13;Kern;ausführlich beschrieben, kein Material
sw-kasekastchen;Käsekästchen;Spielewiki;ruhig;denken;6;14;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-montagsmaler;Montagsmaler;Spielewiki;ruhig;denken;6;15;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-offen-oder-geschlossen-weitergeben;Offen oder geschlossen Weitergeben;Spielewiki;ruhig;denken;6;16;Kern;ausführlich beschrieben, kein Material
sw-teiler-7;Teiler 7;Spielewiki;ruhig;denken;6;17;Kern;ausführlich beschrieben, kein Material
sw-tic-tac-toe-mit-menschen;Tic Tac Toe mit Menschen;Spielewiki;ruhig;denken;6;18;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-wortbau;Wortbau;Spielewiki;ruhig;denken;6;19;Kern;ausführlich beschrieben, kein Material
sw-zahlensumme;Zahlensumme;Spielewiki;ruhig;denken;6;20;Kern;ausführlich beschrieben, kein Material
sw-beruhmte-paare;Berühmte Paare;Spielewiki;ruhig;denken;5;21;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-black-stories;Black Stories;Spielewiki;ruhig;denken;5;22;Kern;ausführlich beschrieben, Altersstufe da, Tipps da, kurz genug für einen Slot, Corona/Online
sw-der-mond-ist-rund;Der Mond ist rund;Spielewiki;ruhig;denken;5;23;Kern;ausführlich beschrieben
sw-lirum-larum-loffelstiel;Lirum Larum Löffelstiel;Spielewiki;ruhig;denken;5;24;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-schwarze-magie;Schwarze Magie;Spielewiki;ruhig;denken;5;25;Reserve (zweite Reihe);ausführlich beschrieben, kein Material
sw-sesselriechen;Sesselriechen;Spielewiki;ruhig;denken;5;26;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-affe-affe-elefant;Affe-Affe-Elefant;Spielewiki;ruhig;denken;4;27;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, Corona/Online
sw-alphabet-ruckwarts;Alphabet rückwärts;Spielewiki;ruhig;denken;4;28;Reserve (zweite Reihe);kein Material
sw-i-can-see-the-moon-in-the-spoon;I can see the moon in the spoon;Spielewiki;ruhig;denken;4;29;Reserve (zweite Reihe);ausführlich beschrieben
sw-kreuzapotheke;Kreuzapotheke;Spielewiki;ruhig;denken;4;30;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, kein Material
sw-modenschau;Modenschau;Spielewiki;ruhig;denken;4;31;Reserve (zweite Reihe);ausführlich beschrieben
sw-nachste-entfernungsangabe;Nächste Entfernungsangabe;Spielewiki;ruhig;denken;4;32;Reserve (zweite Reihe);ausführlich beschrieben
sw-ruckwarts-buchstabieren;Rückwärts Buchstabieren;Spielewiki;ruhig;denken;4;33;Reserve (zweite Reihe);kein Material
sw-tic-tac-toe;Tic Tac Toe;Spielewiki;ruhig;denken;4;34;Reserve (zweite Reihe);kurz genug für einen Slot
sw-der-magier-liebt;Der Magier liebt;Spielewiki;ruhig;denken;3;35;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, Corona/Online
sw-doppeldeutig;Doppeldeutig;Spielewiki;ruhig;denken;3;36;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, Corona/Online
sw-hangman;Hangman;Spielewiki;ruhig;denken;3;37;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, Corona/Online
sw-lieder-raten;Lieder raten;Spielewiki;ruhig;denken;3;38;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, Corona/Online
sw-piggly-wiggly;Piggly-Wiggly;Spielewiki;ruhig;denken;3;39;Reserve (zweite Reihe);ausführlich beschrieben
eig-schwarze-geschichten-bei-kerzenschein;Schwarze Geschichten bei Kerzenschein;eigene;ruhig;denken;3;40;Reserve (zweite Reihe);eigene Sammlung, dünn beschrieben, Altersstufe da, Tipps da, zu lang für einen Baustein
sw-tetris;Tetris;Spielewiki;ruhig;denken;3;41;Reserve (zweite Reihe);ausführlich beschrieben
sw-wenn-das-zwei-ist;Wenn das zwei ist;Spielewiki;ruhig;denken;3;42;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, Corona/Online
sw-irrenhaus;Irrenhaus;Spielewiki;ruhig;denken;2;43;Reserve (zweite Reihe);ausführlich beschrieben, Tipps da, zu lang für einen Baustein, kein Material, Corona/Online
sw-ja-nein-fangen;Ja-Nein-Fangen;Spielewiki;ruhig;denken;2;44;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot, kein Material
eig-quiz-abend-schlag-die-fuehrung;Quiz-Abend: Schlag die Führung;eigene;ruhig;denken;2;45;Reserve (zweite Reihe);eigene Sammlung, dünn beschrieben, Altersstufe da, Tipps da, zu lang für einen Baustein
sw-wer-bin-ich;Wer bin ich;Spielewiki;ruhig;denken;2;46;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, Corona/Online
sw-arche-noah;Arche Noah;Spielewiki;ruhig;denken;1;47;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, kein Material, Corona/Online
sw-ich-sehe-was-was-du-nicht-siehst;Ich sehe was, was du nicht siehst;Spielewiki;ruhig;denken;1;48;Reserve (zweite Reihe);kein Material, Corona/Online
sw-lateral;Lateral;Spielewiki;ruhig;denken;1;49;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, Tipps da, kurz genug für einen Slot, kein Material, Corona/Online
sw-stadt-land-fluss;Stadt-Land-Fluss;Spielewiki;ruhig;denken;1;50;Reserve (zweite Reihe);ausführlich beschrieben, Corona/Online
sw-torwachter;Torwächter;Spielewiki;ruhig;denken;1;51;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, kein Material, Corona/Online
sw-vier-gewinnt;Vier Gewinnt;Spielewiki;ruhig;denken;1;52;Reserve (zweite Reihe);ausführlich beschrieben, braucht große Gruppe
sw-lied-gurgeln;Lied gurgeln;Spielewiki;ruhig;denken;0;53;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kein Material
sw-eislocher-eisbaren-fische;Eislöcher Eisbären Fische;Spielewiki;ruhig;denken;-1;54;Reserve (zweite Reihe);ausführlich beschrieben, zu lang für einen Baustein, Corona/Online
eig-escape-room-im-heim;Escape Room im Heim;eigene;ruhig;denken;-1;55;Reserve (zweite Reihe);eigene Sammlung, dünn beschrieben, Altersstufe da, Tipps da, zu lang für einen Baustein, viel Material, viel Vorbereitung
sw-hannes-liebt;Hannes liebt;Spielewiki;ruhig;denken;-1;56;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot, kein Material, Corona/Online
sw-pubquiz;Pubquiz;Spielewiki;ruhig;denken;-1;57;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot, viel Vorbereitung, Corona/Online
sw-wer-bin-ich-verkehrt;Wer bin ich (verkehrt);Spielewiki;ruhig;denken;-1;58;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot, kein Material, Corona/Online
sw-drudel;Drudel;Spielewiki;ruhig;denken;-2;59;Reserve (zweite Reihe);Corona/Online
sw-melodie-raten;Melodie raten;Spielewiki;ruhig;denken;-2;60;Reserve (zweite Reihe);Dublette, kein Material
sw-sofaspiel;Sofaspiel;Spielewiki;ruhig;denken;-2;61;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot
ps-kontakto;Kontakto;pfadfinder-spiele;bewegung_draussen;fangen;10;1;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-milchproduktefangen;Milchproduktefangen;pfadfinder-spiele;ankommen;fangen;10;2;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
ps-versteck-fangen;Versteck-fangen;pfadfinder-spiele;ankommen;fangen;10;3;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
sw-chaosfangen;Chaosfangen;Spielewiki;bewegung_drinnen;fangen;9;4;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-chinesische-mauer;Chinesische Mauer;Spielewiki;bewegung_drinnen;fangen;9;5;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-farbenfangen;Farbenfangen;Spielewiki;bewegung_drinnen;fangen;9;6;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-goofy;Goofy;Spielewiki;bewegung_drinnen;fangen;9;7;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-kettenfangen;Kettenfangen;Spielewiki;bewegung_drinnen;fangen;9;8;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-krahe-krabbe-krote;Krähe Krabbe Kröte;Spielewiki;bewegung_drinnen;fangen;9;9;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-qualle-koralle;Qualle Koralle;Spielewiki;bewegung_drinnen;fangen;9;10;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
ps-zombieball;Zombieball;pfadfinder-spiele;ankommen;fangen;9;11;Kern;ausführlich beschrieben, Altersstufe da, Tipps da, kurz genug für einen Slot
sw-british-bulldog;British Bulldog;Spielewiki;bewegung_draussen;fangen;8;12;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
ps-englischfangen;Englischfangen;pfadfinder-spiele;ankommen;fangen;8;13;Kern;Altersstufe da, kurz genug für einen Slot, kein Material
sw-hase-und-igel;Hase und Igel;Spielewiki;bewegung_draussen;fangen;8;14;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material
ps-koenigsspiel;Königsspiel;pfadfinder-spiele;bewegung_drinnen;fangen;8;15;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
ps-tuchfangen;Tuchfangen;pfadfinder-spiele;ankommen;fangen;8;16;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
ps-berg-zwerg-riese-versteinerte-hexe-virus;Virus;pfadfinder-spiele;bewegung_draussen;fangen;8;17;Kern;ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material, braucht große Gruppe
sw-bruckenfangen;Brückenfangen;Spielewiki;bewegung_drinnen;fangen;7;18;Kern;ausführlich beschrieben, kein Material
sw-captain-hook-und-peter-pan;Captain Hook und Peter Pan;Spielewiki;bewegung_drinnen;fangen;7;19;Kern;ausführlich beschrieben, kein Material
sw-der-kaiser-schickt-soldaten-aus;Der Kaiser schickt Soldaten aus;Spielewiki;bewegung_drinnen;fangen;7;20;Kern;ausführlich beschrieben, kein Material
sw-der-plumpsack-geht-um;Der Plumpsack geht um;Spielewiki;bewegung_drinnen;fangen;7;21;Kern;ausführlich beschrieben, kein Material
sw-eichhornchenspiel;Eichhörnchenspiel;Spielewiki;bewegung_drinnen;fangen;7;22;Kern;ausführlich beschrieben, kurz genug für einen Slot
sw-eisbar-und-pinguin;Eisbär und Pinguin;Spielewiki;bewegung_drinnen;fangen;7;23;Kern;ausführlich beschrieben, kein Material
sw-hase-und-wolf;Hase und Wolf;Spielewiki;bewegung_drinnen;fangen;7;24;Kern;ausführlich beschrieben, kein Material
sw-innenkreis-aussenkreis;Innenkreis Außenkreis;Spielewiki;bewegung_drinnen;fangen;7;25;Kern;ausführlich beschrieben, kein Material
sw-katze-und-maus-grossgruppenspiel;Katze und Maus (Großgruppenspiel);Spielewiki;bewegung_drinnen;fangen;7;26;Kern;ausführlich beschrieben, kurz genug für einen Slot, kein Material, braucht große Gruppe
sw-keksstafette;Keksstafette;Spielewiki;bewegung_drinnen;fangen;7;27;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-langsamer-hase-und-jager;Langsamer Hase und Jäger;Spielewiki;ruhig;fangen;7;28;Reserve (zweite Reihe);ausführlich beschrieben, kein Material
sw-linienfangen;Linienfangen;Spielewiki;bewegung_drinnen;fangen;7;29;Reserve (zweite Reihe);ausführlich beschrieben, kein Material
sw-paarfangen;Paarfangen;Spielewiki;bewegung_drinnen;fangen;7;30;Reserve (zweite Reihe);kurz genug für einen Slot, kein Material
sw-flohhupfen;Flohhüpfen;Spielewiki;ruhig;fangen;6;31;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
ps-hilfe-die-katze-kommt;Hilfe die Katze kommt;pfadfinder-spiele;ankommen;fangen;6;32;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, kein Material, braucht große Gruppe
sw-krabben;Krabben;Spielewiki;bewegung_drinnen;fangen;6;33;Reserve (zweite Reihe);ausführlich beschrieben, kein Material
sw-moonbase;Moonbase;Spielewiki;bewegung_draussen;fangen;6;34;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
ps-prinzessin-ritter-drache;Prinzessin, Ritter, Drache;pfadfinder-spiele;ankommen;fangen;6;35;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da, kein Material, braucht große Gruppe
sw-schlangen-im-gras;Schlangen im Gras;Spielewiki;bewegung_drinnen;fangen;6;36;Reserve (zweite Reihe);kurz genug für einen Slot, kein Material
sw-schneckenfangen;Schneckenfangen;Spielewiki;ruhig;fangen;6;37;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-vampir;Vampir;Spielewiki;bewegung_drinnen;fangen;6;38;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
eig-waescheklammern-jagd;Wäscheklammern-Jagd;eigene;ankommen;fangen;6;39;Reserve (zweite Reihe);eigene Sammlung, dünn beschrieben, Altersstufe da
ps-mischling;Ballraub;pfadfinder-spiele;bewegung_draussen;fangen;5;40;Reserve (zweite Reihe);ausführlich beschrieben, Altersstufe da
sw-dreibein-fangen;Dreibein-Fangen;Spielewiki;bewegung_drinnen;fangen;5;41;Reserve (zweite Reihe);kurz genug für einen Slot
sw-eisenbahnstaffel;Eisenbahnstaffel;Spielewiki;bewegung_draussen;fangen;5;42;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-elefantenrennen;Elefantenrennen;Spielewiki;bewegung_draussen;fangen;5;43;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-kaferfangen;Käferfangen;Spielewiki;bewegung_drinnen;fangen;5;44;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, braucht große Gruppe
sw-schwammspiel;Schwammspiel;Spielewiki;bewegung_drinnen;fangen;5;45;Reserve (zweite Reihe);ausführlich beschrieben
sw-steinfanger-baumfanger-bruckenfanger;Steinfänger Baumfänger Brückenfänger;Spielewiki;bewegung_drinnen;fangen;5;46;Reserve (zweite Reihe);ausführlich beschrieben, kein Material, braucht große Gruppe
sw-streitwagen-fangen;Streitwagen-Fangen;Spielewiki;bewegung_drinnen;fangen;5;47;Reserve (zweite Reihe);ausführlich beschrieben
sw-wetttransport;Wetttransport;Spielewiki;bewegung_draussen;fangen;5;48;Reserve (zweite Reihe);ausführlich beschrieben, kurz genug für einen Slot
sw-baumchen-wechsle-dich;Bäumchen wechsle dich;Spielewiki;bewegung_draussen;fangen;4;49;Reserve (zweite Reihe);ausführlich beschrieben
sw-ganoven-im-gefangnis;Ganoven im Gefängnis;Spielewiki;bewegung_drinnen;fangen;4;50;Reserve (zweite Reihe);ausführlich beschrieben
ps-komm-mit-lauf-weg;Komm mit- lauf weg;pfadfinder-spiele;kreis;fangen;4;51;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot, kein Material
sw-zahlenfangen;Zahlenfangen;Spielewiki;bewegung_drinnen;fangen;4;52;Reserve (zweite Reihe);ausführlich beschrieben
ps-drachenschwanzjagen;Drachenschwanzjagen;pfadfinder-spiele;ankommen;fangen;3;53;Reserve (zweite Reihe);Dublette, Altersstufe da, kurz genug für einen Slot, kein Material
sw-katze-und-maus-kreisspiel;Katze und Maus (Kreisspiel);Spielewiki;kreis;fangen;3;54;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kurz genug für einen Slot, kein Material
sw-tischfangen;Tischfangen;Spielewiki;bewegung_drinnen;fangen;3;55;Reserve (zweite Reihe);
sw-wer-hat-angst-vorm-schwarzen-mann;Wer hat Angst vorm weißen Hai?;Spielewiki;bewegung_draussen;fangen;3;56;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Tipps da, kurz genug für einen Slot, kein Material
ps-bermudadreieck;Bermudadreieck;pfadfinder-spiele;bewegung_drinnen;fangen;2;57;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
ps-eisbaer-und-pinguin;Eisbär und Pinguin;pfadfinder-spiele;ankommen;fangen;2;58;Reserve (zweite Reihe);Dublette, Altersstufe da, kurz genug für einen Slot, kein Material
sw-schlumpfe-versteinern;Schlümpfe-Versteinern;Spielewiki;bewegung_drinnen;fangen;1;59;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kein Material
sw-versteinern;Versteinern;Spielewiki;bewegung_drinnen;fangen;1;60;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, kein Material
ps-waescheklammern-klauen;Wäscheklammern klauen;pfadfinder-spiele;ankommen;fangen;1;61;Reserve (zweite Reihe);Dublette, ausführlich beschrieben, Altersstufe da, kurz genug für einen Slot
ps-kettenfangen;Kettenfangen;pfadfinder-spiele;ankommen;fangen;0;62;Reserve (zweite Reihe);Dublette, Altersstufe da, kein Material
ps-paarfangen;Paarfangen;pfadfinder-spiele;ankommen;fangen;0;63;Reserve (zweite Reihe);Dublette, Altersstufe da, kurz genug für einen Slot, kein Material, braucht große Gruppe
ps-british-bulldog;British Bulldog;pfadfinder-spiele;bewegung_draussen;fangen;-1;64;Reserve (zweite Reihe);Dublette, Altersstufe da, Tipps da, kein Material, braucht große Gruppe
sw-drachenschwanzfangen-einzeln;Drachenschwanzfangen (einzeln);Spielewiki;bewegung_drinnen;fangen;-1;65;Reserve (zweite Reihe);Dublette, ausführlich beschrieben
